id,discipline_course_id,prerequisite_discipline_id,created_at
815aee90-dbf0-45d8-aa96-ae5c2a9b4895,309c5426-852c-4f36-8106-5ef1c37ace9b 59dabe84-7e86-49bf-a2e5-a9b3d3e5e301,CEA062,2023-07-24 17:57:17.137238
1f45e466-3d3c-44cc-9f9c-59b8e1d3cec8,309c5426-852c-4f36-8106-5ef1c37ace9b 59dabe84-7e86-49bf-a2e5-a9b3d3e5e301,CSI002,2023-07-24 17:57:17.137238
0fc71c1c-1ed0-4ebd-b101-b5a12769f1d5,a4de33f4-b400-4b04-8b94-ce45aa341d10 b959ec5e-77e0-4769-8183-11dbc0d97260,CEA038,2023-07-24 17:57:17.137238
a498f174-33b7-4599-9795-58375bc657c0,a4de33f4-b400-4b04-8b94-ce45aa341d10 b959ec5e-77e0-4769-8183-11dbc0d97260,CEA039,2023-07-24 17:57:17.137238
f7b0bbe0-28ab-40f2-abfc-7e652b46d564,a4de33f4-b400-4b04-8b94-ce45aa341d10 b959ec5e-77e0-4769-8183-11dbc0d97260,CEA052,2023-07-24 17:57:17.137238
b98d4c61-c97e-4501-9d39-fbedb1520e71,a4de33f4-b400-4b04-8b94-ce45aa341d10 b959ec5e-77e0-4769-8183-11dbc0d97260,CEA053,2023-07-24 17:57:17.137238
a8f5e56f-148a-4502-9dc8-0800d07297b8,e36e5648-ceb1-409e-9556-5f003b4c853b,CEA038,2023-07-24 17:57:17.137238
52430bf1-003a-43c9-bcd1-d0057c7fbbc2,e36e5648-ceb1-409e-9556-5f003b4c853b,CEA039,2023-07-24 17:57:17.137238
d3c7da16-ec43-48c0-98ce-4a435a6bb3ed,e36e5648-ceb1-409e-9556-5f003b4c853b,CEA062,2023-07-24 17:57:17.137238
69d198d7-d386-46e0-b0fd-87bb9ae2e454,bd489185-be27-4bea-8dd8-28951a284212,CEA049,2023-07-24 17:57:17.137238
7d62f205-04ff-45a7-bb4d-40f24f6922d7,bd489185-be27-4bea-8dd8-28951a284212,CSI002,2023-07-24 17:57:17.137238
fed731c8-890b-4c9b-a775-9491f8b2df61,bd489185-be27-4bea-8dd8-28951a284212,CSI003,2023-07-24 17:57:17.137238
13c9639e-4b5a-4dfd-8f8d-16f77a3a18f0,3e22a18d-341f-419e-a402-3a60db2271ff,CEA053,2023-07-24 17:57:17.137238
a0199ac1-dd0b-4368-8086-8c5a2a184078,3e22a18d-341f-419e-a402-3a60db2271ff,CEA054,2023-07-24 17:57:17.137238
aa8a8856-6a0a-47b8-91dc-d87148cf7b02,37e9c817-fe62-47e3-a247-aaaec489bb1d,CEA052,2023-07-24 17:57:17.137238
f6dff7a0-4987-40b7-9842-dd2b22f85d02,37e9c817-fe62-47e3-a247-aaaec489bb1d,CEA054,2023-07-24 17:57:17.137238
640ac8a3-31e2-448d-9c57-7608245a49da,7651b871-78c9-4324-b646-605b6f830cd9,CEA054,2023-07-24 17:57:17.137238
c4c4f01b-8794-44a6-8f49-b8d1d3e76d35,e775dcc0-ab22-4de6-9b74-d4ce6462963b 1112b080-1fa2-41d6-8cae-7fb2b5ad1d64,CEA053,2023-07-24 17:57:17.137238
cdba957b-9ee0-4a1d-a1bc-9f3294fe66d6,e775dcc0-ab22-4de6-9b74-d4ce6462963b 1112b080-1fa2-41d6-8cae-7fb2b5ad1d64,CEA054,2023-07-24 17:57:17.137238
17eefff5-712f-4c5c-a691-c8f10a2b92d1,e775dcc0-ab22-4de6-9b74-d4ce6462963b 1112b080-1fa2-41d6-8cae-7fb2b5ad1d64,ENP015,2023-07-24 17:57:17.137238
87ba8729-4ead-44e1-a762-a9a12f565a6a,e775dcc0-ab22-4de6-9b74-d4ce6462963b 1112b080-1fa2-41d6-8cae-7fb2b5ad1d64,ENP048,2023-07-24 17:57:17.137238
a1f7e2ec-3a32-4e06-8526-2c175d2fbafb,c90d4dd6-883b-42bc-9e2b-e203780f6ef2,ENP022,2023-07-24 17:57:17.137238
222af889-1e89-4cde-bfc9-3ab2521e584b,4b6e0aeb-2cf8-4159-952a-55d2dd252275 10eeaf49-5500-44f6-b3e5-d2ed88f991d7,ENP015,2023-07-24 17:57:17.137238
1130ec17-9eb7-4d81-8940-f10918194064,7560cf29-9c12-4733-a9c2-663423f46738,ENP122,2023-07-24 17:57:17.137238
08e410e6-43f9-490d-a573-7ad881c9dcab,883e2130-123b-487f-b2b9-eac70a89185a,CEA063,2023-07-24 17:57:17.154607
498fa7fc-356b-499a-908c-6d744f66f33c,2276e64b-c32c-43d8-b774-7e5e8aa57bc1,CEA052,2023-07-24 17:57:17.154607
51dada1f-ad6d-4237-95d9-fc50be286010,2276e64b-c32c-43d8-b774-7e5e8aa57bc1,CEA062,2023-07-24 17:57:17.154607
5dd01a8b-6ee1-4198-9cf6-b2aac1bf18e5,5fa3fbdf-9f27-460f-b5fb-7f12cbc93c62,CSI003,2023-07-24 17:57:17.154607
93003462-b926-4cb5-a722-0668597d4010,0216d776-d4de-4bc4-858b-7ce390481f76,CEA063,2023-07-24 17:57:17.154607
2fd2f866-2aed-41b1-a1da-5d59f6f0398e,4b6cddb0-4488-45f4-90d1-479d52f35c32 98addc9b-d140-4cc6-b4d7-049f6f3d30e1,CEA052,2023-07-24 17:57:17.154607
4f230933-5958-47d4-954c-e6ac51122559,4b6cddb0-4488-45f4-90d1-479d52f35c32 98addc9b-d140-4cc6-b4d7-049f6f3d30e1,CEA053,2023-07-24 17:57:17.154607
41547f86-6310-449d-9fbe-c8c3a046955a,4b6cddb0-4488-45f4-90d1-479d52f35c32 98addc9b-d140-4cc6-b4d7-049f6f3d30e1,CEA054,2023-07-24 17:57:17.154607
5ecdcec7-fce4-4b6c-a699-5f551c396b15,3c8e0a70-161f-4eee-aa77-8383d1e2f670,CSI002,2023-07-24 17:57:17.154607
c86e2bd5-89c2-4135-8ec9-d7fb9ff065d1,e0a09f5d-188b-4394-b902-fec2d61017df,CSI003,2023-07-24 17:57:17.154607
8084f5b7-057e-4a42-a560-1d043b85fb22,4d11c3a7-32ca-4f9a-8e87-ffaaec0cef63 67f6ddb3-547b-4d5a-9d42-47ac6325634d,CSI002,2023-07-24 17:57:17.154607
1e3b4d42-26c6-4e89-a545-2c871e93fa11,e69004ca-36a6-4547-8c2b-18826306427f,CSI003,2023-07-24 17:57:17.154607
acf5fcb4-4a82-469a-a738-defbfaf6e8f4,e8abda18-1b4f-45a7-aceb-b4da0e4c1f3b 255685c5-c749-4dc1-9f87-2c467f78138b,CSI003,2023-07-24 17:57:17.154607
d3be90f0-2230-45b2-8f81-643bf26796a4,a7d45323-8adf-4a25-9a78-f671e750c148,CSI403,2023-07-24 17:57:17.154607
e61c3fab-2d89-4fa2-aea3-ee80f067ce14,5ca1826f-2cb6-48ea-a55d-a24b1a89b651,CSI404,2023-07-24 17:57:17.154607
4d7cfe2e-4cf2-43e0-82b9-50769a7085d6,fa411fc2-a7d1-44e3-a1fc-28555b61f99a,CSI003,2023-07-24 17:57:17.154607
d330fd29-be12-4a8e-a01b-55ccf68e4f30,fa411fc2-a7d1-44e3-a1fc-28555b61f99a,CSI011,2023-07-24 17:57:17.154607
d0fa305b-a365-4dfc-ab1b-812a89b98bb5,f6d5e1eb-898e-4932-9080-4f82b3fd1c57,CSI403,2023-07-24 17:57:17.154607
3987cd83-e25f-451a-b244-adb438ae26d3,313fb66c-794a-4279-b4e1-8ffdf3c2814b,CSI466,2023-07-24 17:57:17.154607
43eef7e5-68ab-423d-9315-a9e2dcb405dc,612a38ca-e123-4b8c-87a1-104d354e639d,CSI003,2023-07-24 17:57:17.154607
c3c59699-4f02-4934-aedf-4b9ffcba6bf2,63c29f54-5cbf-440a-9ba2-71e459854b67,CSI601,2023-07-24 17:57:17.154607
af42b30c-1479-4e0b-b2ba-67ee0a522cdd,63c29f54-5cbf-440a-9ba2-71e459854b67,CSI602,2023-07-24 17:57:17.154607
e4755e4f-0de5-4c69-a962-7cd717bbb6f3,b50e0164-5af7-42f2-9135-1b676f2086f7,CSI466,2023-07-24 17:57:17.154607
775bdae4-b6b5-4910-96f1-223243a0bd5c,d4931dce-f6af-4136-a27d-ce6e462479c2 2a8cc5ce-9f3c-40e6-a48e-2937726b513d,CSI003,2023-07-24 17:57:17.154607
7db1ed61-35bb-4de5-aab1-28da6a545174,fe424234-e8fa-4d79-a07e-81d2eb56bfce,CSI701,2023-07-24 17:57:17.154607
efbeb7fe-cafa-47c7-a2c3-9045c672b1f1,fe424234-e8fa-4d79-a07e-81d2eb56bfce,ENP012,2023-07-24 17:57:17.154607
011a639d-04f7-49e6-b826-bfbeb51bfd38,8b61effe-4e1d-4d7b-86d9-30c561b8ff62,CSI701,2023-07-24 17:57:17.154607
3c9a01a7-c698-4a85-bee2-970ad5d88a16,99014346-e6f8-4807-97dc-2aa06e025a0b 013bce4e-2f44-4f0c-ac44-77391966c63f,ENP049,2023-07-24 17:57:17.174363
c514c67d-c2cd-41d3-b71f-f0c721b59936,668a5e84-9447-41ee-8a51-db076d02e042,ENP046,2023-07-24 17:57:17.174363
9562b2c4-d2c0-4d56-b1f8-e6c40849aa2c,668a5e84-9447-41ee-8a51-db076d02e042,ENP048,2023-07-24 17:57:17.174363
223a6a8c-e12b-4141-a841-254b5071f00e,668a5e84-9447-41ee-8a51-db076d02e042,ENP154,2023-07-24 17:57:17.174363
0754d0ff-e264-481e-bbcd-ba90e1029997,91542299-8cbc-484f-a228-c3c77740a0b5,ENP022,2023-07-24 17:57:17.174363
e4c9d64b-1dad-49a1-93b3-e2c53d014e9c,91542299-8cbc-484f-a228-c3c77740a0b5,ENP053,2023-07-24 17:57:17.174363
a5449e0c-69dd-47ad-8ece-15d72c74f19b,4707dab9-3deb-48dc-bddf-3dd0c19223ca,CSI101,2023-07-24 17:57:18.617962
d89bcd07-ab42-426f-a25c-846d4e6a0fbc,a5e4b1bd-94a2-4a80-9fa2-644c71f120a4,CSI101,2023-07-24 17:57:18.617962
b37746f9-717b-4a02-ada7-7e3eb1a26b88,74005f0d-ba4b-479a-b391-343a355f6997,CEA060,2023-07-24 17:57:18.617962
ef4ff9f3-bbd2-4f33-8cb3-c5e89886d3af,912e7f2b-9452-4fb7-8ed2-1957cce4087d,CSI102,2023-07-24 17:57:18.617962
f9355f8d-5f55-47ea-ae46-6335286c304a,912e7f2b-9452-4fb7-8ed2-1957cce4087d,CSI103,2023-07-24 17:57:18.617962
6e4d5e7c-57cf-439d-8fb0-be9a0c0127eb,850c4def-e674-48aa-a389-16b3bf2ac81c,CSI011,2023-07-24 17:57:18.617962
6151c2f4-8243-4799-8c09-6a3f0b74a184,850c4def-e674-48aa-a389-16b3bf2ac81c,CSI103,2023-07-24 17:57:18.617962
a4cc3aeb-7fe4-4e29-9863-9a3d15a5a1ca,aa236aaa-568a-4e03-b504-109316678320,CSI103,2023-07-24 17:57:18.617962
d7109d4c-597a-44a1-a0ab-1c46e61ed64d,aa236aaa-568a-4e03-b504-109316678320,CSI202,2023-07-24 17:57:18.617962
2b3de0f9-6e50-4d93-8aea-152cfadfcf97,a48ac381-e241-48e3-b786-a0611fdd810a,CSI102,2023-07-24 17:57:18.617962
373f08db-e06b-49d7-909d-f40bd37c4071,a48ac381-e241-48e3-b786-a0611fdd810a,CSI103,2023-07-24 17:57:18.617962
37760745-a5b8-44c3-bc37-8040299fc17e,ce4ed64f-ad87-4bd4-83ca-95b9c2bb7047,CSI103,2023-07-24 17:57:18.617962
