id,class_number,discipline_id,professor,created_at,semester
5c61fb5f-4841-4de3-9c2b-4093c1eccb9a,11,CSI602,BRUNO RABELLO MONTEIRO(T),2023-07-24 18:08:14.071088,23.1
7c7707d6-32e5-490f-b8d7-9e573ff59839,11,CSI603,BRUNO RABELLO MONTEIRO(T),2023-07-24 18:08:14.071088,23.1
b232bfea-26d8-4599-acd8-09617b45afc8,11,CSI605,HELEN DE CASSIA SOUSA DA COSTA LIMA(T+P),2023-07-24 18:08:14.071088,23.1
7a7a151f-3aaa-492f-9828-d45a228a6286,11,CSI606,FERNANDO BERNARDES DE OLIVEIRA(T+P),2023-07-24 18:08:14.071088,23.1
d4d42771-f510-4777-bd73-2b984aaa47ca,11,CSI609,HELEN DE CASSIA SOUSA DA COSTA LIMA(T+P),2023-07-24 18:08:14.071088,23.1
8833f84f-3382-44cf-b3d6-239fd66e72e2,11,CSI693,ALEXANDRE MAGNO DE SOUSA(T),2023-07-24 18:08:14.071088,23.1
9ddb01b6-345c-48a7-a31a-d2840ffd4e0e,11,CSI701,TALLES HENRIQUE DE MEDEIROS(T),2023-07-24 18:08:14.071088,23.1
49285f05-3720-49a9-990f-5a112613d411,11,CSI702,TATIANA ALVES COSTA(T+P),2023-07-24 18:08:14.071088,23.1
fb809e3f-e34d-4fe4-9d39-d79b72ca83ff,11,CSI703,JANNIELE APARECIDA SOARES ARAUJO(T+P) / ROBERTO GOMES RIBEIRO(T+P),2023-07-24 18:08:14.071088,23.1
1c2bca20-cb53-4fbc-b009-c0093b9dcff5,11,CSI704,TALLES HENRIQUE DE MEDEIROS(T),2023-07-24 18:08:14.071088,23.1
978b85c7-d167-4db4-8261-a4275d9a9307,11,CSI705,EDUARDO DA SILVA RIBEIRO(T),2023-07-24 18:08:14.071088,23.1
43373fd4-0625-407c-b48b-4af2bb0dfa18,11,CSI801,LUCINEIA SOUZA MAIA(T),2023-07-24 18:08:14.071088,23.1
8a8bb4d4-092e-45a8-b1c0-8f853c646b27,11,CSI802,LUCINEIA SOUZA MAIA(T),2023-07-24 18:08:14.071088,23.1
50cfaee5-4914-45ab-8cfa-2e9ac528ccea,11,CSI901,BRUNO CESAR COTA CONCEICAO(T),2023-07-24 18:08:14.071088,23.1
a05fc0f6-418c-4ee7-bf45-f33cc966d0be,11,CSI902,CARLOS HENRIQUE GOMES FERREIRA(T),2023-07-24 18:08:14.071088,23.1
6bf84ae6-45ce-4d3a-9455-d5f6280d4d64,11,CSI998,ALEXANDRE MAGNO DE SOUSA(P) / BRUNO RABELLO MONTEIRO(P) / EULER HORTA MARINHO(P) / FERNANDO BERNARDES DE OLIVEIRA(P) / GILDA APARECIDA DE ASSIS(P) / HELEN DE CASSIA SOUSA DA COSTA LIMA(P) / IGOR MUZETTI PEREIRA(P) / JANNIELE APARECIDA SOARES ARAUJO(P) / LUCIANA PAULA REIS(P) / LUCINEIA SOUZA MAIA(P) / RAFAEL FREDERICO ALEXANDRE(P) / THEO SILVA LINS(P) / TIAGO FRANCA MELO DE LIMA(P),2023-07-24 18:08:14.071088,23.1
