CÓDIGO,DISCIPLINA,PRÉ-REQUISITO,CHS/CHE,CHA,AULAS,PER,Eletiva
CSI515,PROCESSAMENTO DIGITAL DE IMAGENS ENGENHARIA DE SOFTWARE,CEA341 CEA562 CSI488,60/0,72,3 1,,True
CSI436,COMPUTACAO MOVEL,CSI440,60/0,72,4 0,,True
CSI442,BANCO DE DADOS II,CSI429 CSI440,60/0,72,4 0,,True
CSI472,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,CSI488,60/0,72,4 0,,True
CSI477,SISTEMAS WEB I,CSI440 CSI485 CSI548,60/0,72,2 2,,True
CSI486,ENGENHARIA DE SOFTWARE II,CSI485,60/0,72,4 0,,True
CSI512,TOPICOS EM ENGENHARIA DE SOFTWARE I,CSI485,60/0,72,4 0,,True
CSI513,TOPICOS EM DESENVOLVIMENTO DE SISTEMAS I,CSI440 CSI485,60/0,72,4 0,,True
CSI516,TOPICOS EM DESENVOLVIMENTO DE SISTEMAS II,CSI486,60/0,72,4 0,,True
CSI518,TOPICOS EM ENGENHARIA DE SOFTWARE II,CSI486,60/0,72,4 0,,True
CSI549,AVALIACAO DE SISTEMAS INTERATIVOS,CSI450,60/0,72,4 0,,True
CSI557,COMPUTACAO EVOLUCIONARIA,CSI488,60/0,72,2 2,,True
CSI558,DESENVOLVIMENTO DIRIGIDO POR MODELOS,CSI485,60/0,72,4 0,,True
CSI564,GEOPROCESSAMENTO E SISTEMA DE INFORMACAO GEOGRAFICA,900 horas CSI440,60/0,72,4 0,,True
CSI567,PADROES DE PROJETOS,CSI485,60/0,72,3 1,,True
CSI568,QUALIDADE DE SOFTWARE,CSI485,60/0,72,4 0,,True
CSI575,SISTEMAS WEB II,CSI477 CSI486,60/0,72,2 2,,True
CSI576,TESTE DE SOFTWARE,CSI485,60/0,72,4 0,,True
